epoch,train_loss,val_loss,val_acc,epoch_seconds,timestamp,device,batch_size,learning_rate
1,4.746805634675202,4.746707356770833,0.02,66.38967090000006,2025-11-03T16:10:00.407605,cpu,96,0.004
2,4.674289676524975,4.611319986979167,0.01,25.762634999999136,2025-11-03T16:10:26.170624,cpu,96,0.004
3,4.534744741651747,4.566883138020834,0.016666666666666666,24.39750550000099,2025-11-03T16:10:50.569302,cpu,96,0.004
4,4.493046171400282,4.5388411458333335,0.005,26.519952300001023,2025-11-03T16:11:17.077248,cpu,96,0.004
5,4.440917972988553,4.44634765625,0.005,32.16428140000062,2025-11-03T16:11:49.255213,cpu,96,0.004
6,4.419115272098117,4.401775716145833,0.018333333333333333,28.106094400001894,2025-11-03T16:12:17.362029,cpu,96,0.004
7,4.372442283630371,4.414270833333333,0.006666666666666667,25.94779710000148,2025-11-03T16:12:43.310214,cpu,96,0.004
8,4.352778863553648,4.361829427083333,0.013333333333333334,26.757249800000864,2025-11-03T16:13:10.068029,cpu,96,0.004
9,4.2898345375061036,4.33841796875,0.015,25.56528729999991,2025-11-03T16:13:35.633323,cpu,96,0.004
10,4.286977399190267,4.322683919270833,0.015,24.905831500000204,2025-11-03T16:14:00.540146,cpu,96,0.004
11,4.269495138238978,4.248468424479166,0.011666666666666667,27.064662799999496,2025-11-03T16:14:27.593690,cpu,96,0.004
12,4.25980531975075,4.2854052734375,0.008333333333333333,24.962499400000524,2025-11-03T16:14:52.568303,cpu,96,0.004
