epoch,train_loss,val_loss,val_acc,epoch_seconds,timestamp,device,batch_size,learning_rate
1,4.665124147203233,4.548348388671875,0.008333333333333333,45.17240959999617,2025-11-03T21:26:05.258180,cpu,96,0.004
2,4.496760752995809,4.34177001953125,0.0033333333333333335,26.95470779999596,2025-11-03T21:26:32.202524,cpu,96,0.004
3,4.3502397805673105,4.3327490234375,0.015,28.042510899998888,2025-11-03T21:27:00.249411,cpu,96,0.004
4,4.2944484908492475,4.31050537109375,0.008333333333333333,26.792914099998598,2025-11-03T21:27:27.046541,cpu,96,0.004
5,4.20220252778795,4.170679524739583,0.006666666666666667,27.43691039999976,2025-11-03T21:27:54.531402,cpu,96,0.004
6,4.191101999636049,4.207034505208333,0.03,27.228124499997648,2025-11-03T21:28:21.748960,cpu,96,0.004
7,4.206048607296414,4.2469580078125,0.01,27.264329700003145,2025-11-03T21:28:49.025945,cpu,96,0.004
8,4.180901016659207,4.171212565104167,0.005,31.580007399999886,2025-11-03T21:29:20.606040,cpu,96,0.004
9,4.223776659788909,4.294231770833333,0.025,27.145564600003127,2025-11-03T21:29:47.752871,cpu,96,0.004
10,4.241980532893428,4.271002604166667,0.011666666666666667,29.479006999994454,2025-11-03T21:30:17.232485,cpu,96,0.004
11,4.2605707041422525,4.195055338541667,0.008333333333333333,30.65920400000323,2025-11-03T21:30:47.891772,cpu,96,0.004
12,4.255311190287272,4.261858723958333,0.013333333333333334,26.97862560000067,2025-11-03T21:31:14.871175,cpu,96,0.004
