epoch,train_loss,val_loss,val_acc,epoch_seconds,timestamp,device,batch_size,learning_rate
1,4.652938699192471,4.551680603027344,0.004375,43.96973539999453,2025-11-03T22:31:04.279941,cpu,192,0.0025
2,4.4281169859568275,4.440033569335937,0.013125,26.846709500001452,2025-11-03T22:31:31.124019,cpu,192,0.0025
3,4.2642711844709185,4.113294982910157,0.01875,26.91150230000494,2025-11-03T22:31:58.046443,cpu,192,0.0025
4,4.100117284191979,3.998079528808594,0.00875,26.934855999999854,2025-11-03T22:32:24.968414,cpu,192,0.0025
5,3.9144354828198753,3.854827575683594,0.00625,26.935199999999895,2025-11-03T22:32:54.280238,cpu,192,0.0025
6,3.849315130180783,3.7978326416015626,0.020625,26.858726200000092,2025-11-03T22:33:21.139820,cpu,192,0.0025
7,3.808593808809916,3.69321044921875,0.014375,27.008101400002488,2025-11-03T22:33:48.155510,cpu,192,0.0025
8,3.7697510189480252,3.8219207763671874,0.03125,27.542880799999693,2025-11-03T22:34:15.703081,cpu,192,0.0025
9,3.7760728205574883,3.7139263916015626,0.00875,26.787267400002747,2025-11-03T22:34:42.495126,cpu,192,0.0025
10,3.761968474123213,3.8055047607421875,0.003125,29.59162720000313,2025-11-03T22:35:12.088296,cpu,192,0.0025
11,3.7464627430174087,3.6806085205078123,0.016875,27.789850200002547,2025-11-03T22:35:39.878812,cpu,192,0.0025
12,3.7103632113668654,3.652425537109375,0.02125,31.760938699997496,2025-11-03T22:36:11.640653,cpu,192,0.0025
13,3.693173232873281,3.649683837890625,0.0175,31.731152599997586,2025-11-03T22:36:43.368748,cpu,192,0.0025
14,3.669760172367096,3.62987548828125,0.01125,30.823452600001474,2025-11-03T22:37:14.197568,cpu,192,0.0025
15,3.647310614850786,3.5642706298828126,0.009375,27.467814600000565,2025-11-03T22:37:41.666258,cpu,192,0.0025
16,3.6125062444474962,3.600914306640625,0.010625,27.039667000004556,2025-11-03T22:38:08.707406,cpu,192,0.0025
17,3.584511790275574,3.5460858154296875,0.01125,26.65215580000222,2025-11-03T22:38:35.357963,cpu,192,0.0025
18,3.5956998451550803,3.5061102294921875,0.019375,26.76043440000649,2025-11-03T22:39:02.108809,cpu,192,0.0025
19,3.557605896790822,3.5602490234375,0.014375,27.00945369999681,2025-11-03T22:39:29.124394,cpu,192,0.0025
20,3.5237221927113005,3.4566632080078126,0.010625,26.887054400001944,2025-11-03T22:39:56.020212,cpu,192,0.0025
21,3.5164012938075597,3.4356903076171874,0.01875,26.761325999999826,2025-11-03T22:40:22.781096,cpu,192,0.0025
22,3.4851484047042,3.40791748046875,0.014375,27.28301289999945,2025-11-03T22:40:50.067566,cpu,192,0.0025
23,3.460583035680983,3.3915960693359377,0.02625,27.375602400003118,2025-11-03T22:41:17.436910,cpu,192,0.0025
24,3.456520198186239,3.329495849609375,0.0125,26.806958400004078,2025-11-03T22:41:44.249042,cpu,192,0.0025
25,3.434147488541073,3.3750750732421877,0.014375,26.87727659999655,2025-11-03T22:42:11.124139,cpu,192,0.0025
26,3.4275149779849583,3.375919189453125,0.010625,26.8269575000013,2025-11-03T22:42:37.958247,cpu,192,0.0025
27,3.41949834479226,3.3466339111328125,0.01375,27.200784299995576,2025-11-03T22:43:05.159356,cpu,192,0.0025
28,3.406097008652157,3.38079833984375,0.010625,26.79686919999949,2025-11-03T22:43:31.951924,cpu,192,0.0025
29,3.404316273265415,3.38828125,0.008125,27.197424799996952,2025-11-03T22:43:59.155182,cpu,192,0.0025
30,3.3728692791197035,3.2848468017578125,0.01,26.869440599999507,2025-11-03T22:44:26.026401,cpu,192,0.0025
